annotation_name	accession	assminfo-name	organism-name	organism-tax-id	full_path
GCF_902713425.1_fAciRut3.2_maternal_haplotype_genomic	GCF_902713425.1	fAciRut3.2 maternal haplotype	Acipenser ruthenus	7906	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/713/425/GCF_902713425.1_fAciRut3.2_maternal_haplotype/GCF_902713425.1_fAciRut3.2_maternal_haplotype_genomic.gff.gz
GCF_010645085.2_ASM1064508v2_genomic	GCF_010645085.2	ASM1064508v2	Acipenser ruthenus	7906	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/645/085/GCF_010645085.2_ASM1064508v2/GCF_010645085.2_ASM1064508v2_genomic.gff.gz
GCF_903995435.1_mAcoRus1.1_genomic	GCF_903995435.1	mAcoRus1.1	Acomys russatus	60746	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/903/995/435/GCF_903995435.1_mAcoRus1.1/GCF_903995435.1_mAcoRus1.1_genomic.gff.gz
GCA_030737845.1_ASM3073784v1_genomic	GCA_030737845.1	ASM3073784v1	Acorus calamus	4465	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/737/845/GCA_030737845.1_ASM3073784v1/GCA_030737845.1_ASM3073784v1_genomic.gff.gz
GCA_030737835.1_ASM3073783v1_genomic	GCA_030737835.1	ASM3073783v1	Acorus gramineus	55184	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/737/835/GCA_030737835.1_ASM3073783v1/GCA_030737835.1_ASM3073783v1_genomic.gff.gz
GCA_033807595.1_ASM3380759v1_genomic	GCA_033807595.1	ASM3380759v1	Acrodontium crateriforme	150365	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/033/807/595/GCA_033807595.1_ASM3380759v1/GCA_033807595.1_ASM3380759v1_genomic.gff.gz
GCF_013753865.1_Amil_v2.1_genomic	GCF_013753865.1	Amil_v2.1	Acropora millepora	45264	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/753/865/GCF_013753865.1_Amil_v2.1/GCF_013753865.1_Amil_v2.1_genomic.gff.gz
GCF_036669905.1_ASM3666990v1_genomic	GCF_036669905.1	ASM3666990v1	Acropora muricata	159855	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/669/905/GCF_036669905.1_ASM3666990v1/GCF_036669905.1_ASM3666990v1_genomic.gff.gz
GCA_003024255.1_Red5_PS1_1.69.0_genomic	GCA_003024255.1	Red5_PS1_1.69.0	Actinidia chinensis var. chinensis	1590841	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/024/255/GCA_003024255.1_Red5_PS1_1.69.0/GCA_003024255.1_Red5_PS1_1.69.0_genomic.gff.gz
GCF_019202715.1_MaoHua_MHT_genomic	GCF_019202715.1	MaoHua_MHT	Actinidia eriantha	165200	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/202/715/GCF_019202715.1_MaoHua_MHT/GCF_019202715.1_MaoHua_MHT_genomic.gff.gz
GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2_genomic	GCF_005508785.2	pea_aphid_22Mar2018_4r6ur_v2	Acyrthosiphon pisum	7029	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/508/785/GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2/GCF_005508785.2_pea_aphid_22Mar2018_4r6ur_v2_genomic.gff.gz
GCA_014529385.2_ASM1452938v2_genomic	GCA_014529385.2	ASM1452938v2	Adiantum capillus-veneris	13818	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/529/385/GCA_014529385.2_ASM1452938v2/GCA_014529385.2_ASM1452938v2_genomic.gff.gz
GCA_021613535.1_ASM2161353v1_genomic	GCA_021613535.1	ASM2161353v1	Adineta vaga	104782	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/613/535/GCA_021613535.1_ASM2161353v1/GCA_021613535.1_ASM2161353v1_genomic.gff.gz
GCF_002204515.2_AaegL5.0_genomic	GCF_002204515.2	AaegL5.0	Aedes aegypti	7159	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/204/515/GCF_002204515.2_AaegL5.0/GCF_002204515.2_AaegL5.0_genomic.gff.gz
GCF_035046485.1_AalbF5_genomic	GCF_035046485.1	AalbF5	Aedes albopictus	7160	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/046/485/GCF_035046485.1_AalbF5/GCF_035046485.1_AalbF5_genomic.gff.gz
GCF_002575655.2_Aet_v5.0_genomic	GCF_002575655.2	Aet v5.0	Aegilops tauschii subsp. strangulata	200361	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/575/655/GCF_002575655.2_Aet_v5.0/GCF_002575655.2_Aet_v5.0_genomic.gff.gz
GCF_024364675.1_icAetTumi1.1_genomic	GCF_024364675.1	icAetTumi1.1	Aethina tumida	116153	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/364/675/GCF_024364675.1_icAetTumi1.1/GCF_024364675.1_icAetTumi1.1_genomic.gff.gz
GCA_014872705.1_ASM1487270v1_genomic	GCA_014872705.1	ASM1487270v1	Agaricus bisporus var. burnettii	192524	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/872/705/GCA_014872705.1_ASM1487270v1/GCA_014872705.1_ASM1487270v1_genomic.gff.gz
GCF_020745825.1_Agelaius_phoeniceus_1.1_genomic	GCF_020745825.1	Agelaius phoeniceus 1.1	Agelaius phoeniceus	39638	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/745/825/GCF_020745825.1_Agelaius_phoeniceus_1.1/GCF_020745825.1_Agelaius_phoeniceus_1.1_genomic.gff.gz
GCF_028640845.1_ASM2864084v1_genomic	GCF_028640845.1	ASM2864084v1	Ahaetulla prasina	499056	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/640/845/GCF_028640845.1_ASM2864084v1/GCF_028640845.1_ASM2864084v1_genomic.gff.gz
GCF_002007445.2_ASM200744v3_genomic	GCF_002007445.2	ASM200744v3	Ailuropoda melanoleuca	9646	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/445/GCF_002007445.2_ASM200744v3/GCF_002007445.2_ASM200744v3_genomic.gff.gz
GCF_028009165.1_ASM2800916v1_genomic	GCF_028009165.1	ASM2800916v1	Akanthomyces muscarius	2231603	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/009/165/GCF_028009165.1_ASM2800916v1/GCF_028009165.1_ASM2800916v1_genomic.gff.gz
GCA_028009165.1_ASM2800916v1_genomic	GCA_028009165.1	ASM2800916v1	Akanthomyces muscarius	2231603	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/009/165/GCA_028009165.1_ASM2800916v1/GCA_028009165.1_ASM2800916v1_genomic.gff.gz
GCA_022829145.1_AGOR_1.0_genomic	GCA_022829145.1	AGOR_1.0	Albula goreensis	1534307	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/829/145/GCA_022829145.1_AGOR_1.0/GCA_022829145.1_AGOR_1.0_genomic.gff.gz
GCF_030867095.1_rAllMis1_genomic	GCF_030867095.1	rAllMis1	Alligator mississippiensis	8496	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/867/095/GCF_030867095.1_rAllMis1/GCF_030867095.1_rAllMis1_genomic.gff.gz
GCF_958979055.1_dhAlnGlut1.1_genomic	GCF_958979055.1	dhAlnGlut1.1	Alnus glutinosa	3517	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/958/979/055/GCF_958979055.1_dhAlnGlut1.1/GCF_958979055.1_dhAlnGlut1.1_genomic.gff.gz
GCF_017589495.1_AALO_Geno_1.1_genomic	GCF_017589495.1	AALO_Geno_1.1	Alosa alosa	278164	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/589/495/GCF_017589495.1_AALO_Geno_1.1/GCF_017589495.1_AALO_Geno_1.1_genomic.gff.gz
GCA_017589495.2_AALO_Geno_1.1_genomic	GCA_017589495.2	AALO_Geno_1.1	Alosa alosa	278164	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/589/495/GCA_017589495.2_AALO_Geno_1.1/GCA_017589495.2_AALO_Geno_1.1_genomic.gff.gz
GCF_018492685.1_fAloSap1.pri_genomic	GCF_018492685.1	fAloSap1.pri	Alosa sapidissima	34773	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/492/685/GCF_018492685.1_fAloSap1.pri/GCF_018492685.1_fAloSap1.pri_genomic.gff.gz
GCA_042100115.1_ASM4210011v1_genomic	GCA_042100115.1	ASM4210011v1	Alternaria dauci	48095	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/100/115/GCA_042100115.1_ASM4210011v1/GCA_042100115.1_ASM4210011v1_genomic.gff.gz
GCF_026212465.1_ASM2621246v1_genomic	GCF_026212465.1	ASM2621246v1	Amaranthus tricolor	29722	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/212/465/GCF_026212465.1_ASM2621246v1/GCF_026212465.1_ASM2621246v1_genomic.gff.gz
GCF_010909765.2_sAmbRad1.1.pri_genomic	GCF_010909765.2	sAmbRad1.1.pri	Amblyraja radiata	386614	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/909/765/GCF_010909765.2_sAmbRad1.1.pri/GCF_010909765.2_sAmbRad1.1.pri_genomic.gff.gz
GCA_012411365.1_AMELA_1.0_genomic	GCA_012411365.1	AMELA_1.0	Ameiurus melas	219545	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/411/365/GCA_012411365.1_AMELA_1.0/GCA_012411365.1_AMELA_1.0_genomic.gff.gz
GCF_036373705.1_fAmiCal2.hap1_genomic	GCF_036373705.1	fAmiCal2.hap1	Amia calva	7924	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/373/705/GCF_036373705.1_fAmiCal2.hap1/GCF_036373705.1_fAmiCal2.hap1_genomic.gff.gz
GCF_027887145.1_bAmmCau1.pri_genomic	GCF_027887145.1	bAmmCau1.pri	Ammospiza caudacuta	2857398	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/145/GCF_027887145.1_bAmmCau1.pri/GCF_027887145.1_bAmmCau1.pri_genomic.gff.gz
GCF_027579445.1_bAmmNel1.pri_genomic	GCF_027579445.1	bAmmNel1.pri	Ammospiza nelsoni	2857394	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/579/445/GCF_027579445.1_bAmmNel1.pri/GCF_027579445.1_bAmmNel1.pri_genomic.gff.gz
GCF_022539595.1_ASM2253959v1_genomic	GCF_022539595.1	ASM2253959v1	Amphiprion ocellaris	80972	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/539/595/GCF_022539595.1_ASM2253959v1/GCF_022539595.1_ASM2253959v1_genomic.gff.gz
GCF_032362555.1_ilAmyTran1.1_genomic	GCF_032362555.1	ilAmyTran1.1	Amyelois transitella	680683	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/362/555/GCF_032362555.1_ilAmyTran1.1/GCF_032362555.1_ilAmyTran1.1_genomic.gff.gz
GCF_900324465.2_fAnaTes1.2_genomic	GCF_900324465.2	fAnaTes1.2	Anabas testudineus	64144	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/324/465/GCF_900324465.2_fAnaTes1.2/GCF_900324465.2_fAnaTes1.2_genomic.gff.gz
GCF_040414725.1_ASM4041472v1_genomic	GCF_040414725.1	ASM4041472v1	Anabrus simplex	316456	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/414/725/GCF_040414725.1_ASM4041472v1/GCF_040414725.1_ASM4041472v1_genomic.gff.gz
GCF_040417275.1_iqAnaSimp2_genomic	GCF_040417275.1	iqAnaSimp2	Anabrus simplex	316456	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/417/275/GCF_040417275.1_iqAnaSimp2/GCF_040417275.1_iqAnaSimp2_genomic.gff.gz
GCF_001540865.1_ASM154086v1_genomic	GCF_001540865.1	ASM154086v1	Ananas comosus	4615	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/540/865/GCF_001540865.1_ASM154086v1/GCF_001540865.1_ASM154086v1_genomic.gff.gz
GCF_963932015.1_bAnaAcu1.1_genomic	GCF_963932015.1	bAnaAcu1.1	Anas acuta	28680	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/932/015/GCF_963932015.1_bAnaAcu1.1/GCF_963932015.1_bAnaAcu1.1_genomic.gff.gz
GCF_015476345.1_ZJU1.0_genomic	GCF_015476345.1	ZJU1.0	Anas platyrhynchos	8839	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/476/345/GCF_015476345.1_ZJU1.0/GCF_015476345.1_ZJU1.0_genomic.gff.gz
GCF_003850225.1_IASCAAS_PekingDuck_PBH1.5_genomic	GCF_003850225.1	IASCAAS_PekingDuck_PBH1.5	Anas platyrhynchos	8839	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/850/225/GCF_003850225.1_IASCAAS_PekingDuck_PBH1.5/GCF_003850225.1_IASCAAS_PekingDuck_PBH1.5_genomic.gff.gz
GCF_028408465.1_idAnaLude1.1_genomic	GCF_028408465.1	idAnaLude1.1	Anastrepha ludens	28586	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/408/465/GCF_028408465.1_idAnaLude1.1/GCF_028408465.1_idAnaLude1.1_genomic.gff.gz
GCF_027943255.1_idAnaObli1_1.0_genomic	GCF_027943255.1	idAnaObli1_1.0	Anastrepha obliqua	95512	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/943/255/GCF_027943255.1_idAnaObli1_1.0/GCF_027943255.1_idAnaObli1_1.0_genomic.gff.gz
GCA_903995115.1_Adeanei_nanopore_chromosomes_genomic	GCA_903995115.1	Adeanei_nanopore_chromosomes	Angomonas deanei	59799	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/995/115/GCA_903995115.1_Adeanei_nanopore_chromosomes/GCA_903995115.1_Adeanei_nanopore_chromosomes_genomic.gff.gz
GCF_013347855.1_fAngAng1.pri_genomic	GCF_013347855.1	fAngAng1.pri	Anguilla anguilla	7936	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/347/855/GCF_013347855.1_fAngAng1.pri/GCF_013347855.1_fAngAng1.pri_genomic.gff.gz
GCA_018320845.1_ANANG_Geno_1.0_genomic	GCA_018320845.1	ANANG_Geno_1.0	Anguilla anguilla	7936	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/320/845/GCA_018320845.1_ANANG_Geno_1.0/GCA_018320845.1_ANANG_Geno_1.0_genomic.gff.gz
GCF_018555375.3_ASM1855537v3_genomic	GCF_018555375.3	ASM1855537v3	Anguilla rostrata	7938	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/555/375/GCF_018555375.3_ASM1855537v3/GCF_018555375.3_ASM1855537v3_genomic.gff.gz
GCA_029783415.1_ASM2978341v1_genomic	GCA_029783415.1	ASM2978341v1	Anisodus acutangulus	402998	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/783/415/GCA_029783415.1_ASM2978341v1/GCA_029783415.1_ASM2978341v1_genomic.gff.gz
GCA_034509755.1_ASM3450975v1_genomic	GCA_034509755.1	ASM3450975v1	Anisodus tanguticus	243964	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/509/755/GCA_034509755.1_ASM3450975v1/GCA_034509755.1_ASM3450975v1_genomic.gff.gz
GCA_040104375.1_ASM4010437v1_genomic	GCA_040104375.1	ASM4010437v1	Annulohypoxylon sp. FPYF3050	2857486	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/104/375/GCA_040104375.1_ASM4010437v1/GCA_040104375.1_ASM4010437v1_genomic.gff.gz
GCF_035594765.1_rAnoCar3.1.pri_genomic	GCF_035594765.1	rAnoCar3.1.pri	Anolis carolinensis	28377	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/594/765/GCF_035594765.1_rAnoCar3.1.pri/GCF_035594765.1_rAnoCar3.1.pri_genomic.gff.gz
GCF_000090745.2_AnoCar2.0_genomic	GCF_000090745.2	AnoCar2.0	Anolis carolinensis	28377	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/745/GCF_000090745.2_AnoCar2.0/GCF_000090745.2_AnoCar2.0_genomic.gff.gz
GCF_037176765.1_rAnoSag1.mat_genomic	GCF_037176765.1	rAnoSag1.mat	Anolis sagrei	38937	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/176/765/GCF_037176765.1_rAnoSag1.mat/GCF_037176765.1_rAnoSag1.mat_genomic.gff.gz
GCF_031753505.1_ASM3175350v1_genomic	GCF_031753505.1	ASM3175350v1	Anomalospiza imberbis	187417	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/753/505/GCF_031753505.1_ASM3175350v1/GCF_031753505.1_ASM3175350v1_genomic.gff.gz
GCF_013758885.1_VT_AalbS3_pri_1.0_genomic	GCF_013758885.1	VT_AalbS3_pri_1.0	Anopheles albimanus	7167	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/758/885/GCF_013758885.1_VT_AalbS3_pri_1.0/GCF_013758885.1_VT_AalbS3_pri_1.0_genomic.gff.gz
GCF_943734665.1_idAnoAquaMG_Q_19_genomic	GCF_943734665.1	idAnoAquaMG_Q_19	Anopheles aquasalis	42839	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/665/GCF_943734665.1_idAnoAquaMG_Q_19/GCF_943734665.1_idAnoAquaMG_Q_19_genomic.gff.gz
GCF_016920715.1_AaraD3_genomic	GCF_016920715.1	AaraD3	Anopheles arabiensis	7173	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/715/GCF_016920715.1_AaraD3/GCF_016920715.1_AaraD3_genomic.gff.gz
GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic	GCF_943735745.2	idAnoBellAS_SP24_06.2	Anopheles bellator	139047	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/735/745/GCF_943735745.2_idAnoBellAS_SP24_06.2/GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic.gff.gz
GCF_943734685.1_AcolN3_genomic	GCF_943734685.1	AcolN3	Anopheles coluzzii	1518534	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/685/GCF_943734685.1_AcolN3/GCF_943734685.1_AcolN3_genomic.gff.gz
GCF_016920705.1_AcolMOP1_genomic	GCF_016920705.1	AcolMOP1	Anopheles coluzzii	1518534	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/705/GCF_016920705.1_AcolMOP1/GCF_016920705.1_AcolMOP1_genomic.gff.gz
GCF_943734705.1_idAnoCousDA_361_x.2_genomic	GCF_943734705.1	idAnoCousDA_361_x.2	Anopheles coustani	139045	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/705/GCF_943734705.1_idAnoCousDA_361_x.2/GCF_943734705.1_idAnoCousDA_361_x.2_genomic.gff.gz
GCF_943734635.1_idAnoCruzAS_RS32_06_genomic	GCF_943734635.1	idAnoCruzAS_RS32_06	Anopheles cruzii	68878	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/635/GCF_943734635.1_idAnoCruzAS_RS32_06/GCF_943734635.1_idAnoCruzAS_RS32_06_genomic.gff.gz
GCF_943734745.1_idAnoDarlMG_H_01_genomic	GCF_943734745.1	idAnoDarlMG_H_01	Anopheles darlingi	43151	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/745/GCF_943734745.1_idAnoDarlMG_H_01/GCF_943734745.1_idAnoDarlMG_H_01_genomic.gff.gz
GCF_943734845.2_idAnoFuneDA-416_04_genomic	GCF_943734845.2	idAnoFuneDA-416_04	Anopheles funestus	62324	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/845/GCF_943734845.2_idAnoFuneDA-416_04/GCF_943734845.2_idAnoFuneDA-416_04_genomic.gff.gz
GCF_943734735.2_idAnoGambNW_F1_1_genomic	GCF_943734735.2	idAnoGambNW_F1_1	Anopheles gambiae	7165	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/735/GCF_943734735.2_idAnoGambNW_F1_1/GCF_943734735.2_idAnoGambNW_F1_1_genomic.gff.gz
GCF_000005575.2_AgamP3_genomic	GCF_000005575.2	AgamP3	Anopheles gambiae str. PEST	180454	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/575/GCF_000005575.2_AgamP3/GCF_000005575.2_AgamP3_genomic.gff.gz
GCA_000005575.1_AgamP3_genomic	GCA_000005575.1	AgamP3	Anopheles gambiae str. PEST	180454	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/575/GCA_000005575.1_AgamP3/GCA_000005575.1_AgamP3_genomic.gff.gz
GCF_943734695.1_idAnoMacuDA_375_x_genomic	GCF_943734695.1	idAnoMacuDA_375_x	Anopheles maculipalpis	1496333	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/695/GCF_943734695.1_idAnoMacuDA_375_x/GCF_943734695.1_idAnoMacuDA_375_x_genomic.gff.gz
GCF_943734725.1_idAnoMarsDA_429_01_genomic	GCF_943734725.1	idAnoMarsDA_429_01	Anopheles marshallii	1521116	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/725/GCF_943734725.1_idAnoMarsDA_429_01/GCF_943734725.1_idAnoMarsDA_429_01_genomic.gff.gz
GCF_017562075.2_AmerM5.1_genomic	GCF_017562075.2	AmerM5.1	Anopheles merus	30066	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/562/075/GCF_017562075.2_AmerM5.1/GCF_017562075.2_AmerM5.1_genomic.gff.gz
GCF_943734755.1_idAnoMoucSN_F20_07_genomic	GCF_943734755.1	idAnoMoucSN_F20_07	Anopheles moucheti	186751	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/755/GCF_943734755.1_idAnoMoucSN_F20_07/GCF_943734755.1_idAnoMoucSN_F20_07_genomic.gff.gz
GCF_943737925.1_idAnoNiliSN_F5_01_genomic	GCF_943737925.1	idAnoNiliSN_F5_01	Anopheles nili	185578	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/737/925/GCF_943737925.1_idAnoNiliSN_F5_01/GCF_943737925.1_idAnoNiliSN_F5_01_genomic.gff.gz
GCF_013141755.1_UCI_ANSTEP_V1.0_genomic	GCF_013141755.1	UCI_ANSTEP_V1.0	Anopheles stephensi	30069	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/141/755/GCF_013141755.1_UCI_ANSTEP_V1.0/GCF_013141755.1_UCI_ANSTEP_V1.0_genomic.gff.gz
GCF_943734765.1_idAnoZiCoDA_A2_x.2_genomic	GCF_943734765.1	idAnoZiCoDA_A2_x.2	Anopheles ziemanni	345580	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/765/GCF_943734765.1_idAnoZiCoDA_A2_x.2/GCF_943734765.1_idAnoZiCoDA_A2_x.2_genomic.gff.gz
GCF_027596085.1_Afim_UVic_2022_genomic	GCF_027596085.1	Afim_UVic_2022	Anoplopoma fimbria	229290	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/596/085/GCF_027596085.1_Afim_UVic_2022/GCF_027596085.1_Afim_UVic_2022_genomic.gff.gz
GCF_040182565.1_Taihu_goose_T2T_genome_genomic	GCF_040182565.1	Taihu_goose_T2T_genome	Anser cygnoides	8845	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/182/565/GCF_040182565.1_Taihu_goose_T2T_genome/GCF_040182565.1_Taihu_goose_T2T_genome_genomic.gff.gz
GCF_016432865.1_AdamAnt_v2_genomic	GCF_016432865.1	AdamAnt_v2	Antechinus flavipes	38775	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/432/865/GCF_016432865.1_AdamAnt_v2/GCF_016432865.1_AdamAnt_v2_genomic.gff.gz
GCF_040054535.1_ASM4005453v1_genomic	GCF_040054535.1	ASM4005453v1	Antennarius striatus	241820	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/054/535/GCF_040054535.1_ASM4005453v1/GCF_040054535.1_ASM4005453v1_genomic.gff.gz
GCF_022605725.1_icAntGran1.3_genomic	GCF_022605725.1	icAntGran1.3	Anthonomus grandis grandis	2921223	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/605/725/GCF_022605725.1_icAntGran1.3/GCF_022605725.1_icAntGran1.3_genomic.gff.gz
