assembly_accession	assembly_name	taxon_id	organism_name	source_database	annotation_provider	access_url	file_format	release_date	retrieval_date	pipeline_name	pipeline_method	pipeline_version	last_modified_date	md5_checksum
GCF_035046485.1	AalbF5	7160	Aedes albopictus	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/046/485/GCF_035046485.1_AalbF5/GCF_035046485.1_AalbF5_genomic.gff.gz	gff	2024-01-31	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon; cmsearch; tRNAscan-SE	10.2	2024-02-07	90d1c588250ce93848a801a14bf8af22
GCF_024364675.1	icAetTumi1.1	116153	Aethina tumida	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/364/675/GCF_024364675.1_icAetTumi1.1/GCF_024364675.1_icAetTumi1.1_genomic.gff.gz	gff	2022-08-05	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	10.0	2022-08-11	5608f5bbae1a009f81f98ccb06e0461e
GCF_028640845.1	ASM2864084v1	499056	Ahaetulla prasina	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/640/845/GCF_028640845.1_ASM2864084v1/GCF_028640845.1_ASM2864084v1_genomic.gff.gz	gff	2023-07-17	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-07-18	a66a10917eca91632522ccd101415970
GCF_002007445.2	ASM200744v3	9646	Ailuropoda melanoleuca	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/445/GCF_002007445.2_ASM200744v3/GCF_002007445.2_ASM200744v3_genomic.gff.gz	gff	2021-05-24	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	8.4	2023-06-24	77c452adc21fb13b481d7296fdd16751
GCF_028009165.1	ASM2800916v1	2231603	Akanthomyces muscarius	RefSeq	University of Exeter	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/009/165/GCF_028009165.1_ASM2800916v1/GCF_028009165.1_ASM2800916v1_genomic.gff.gz	gff	2023-05-19	2025-09-09	Eukaryotic Annotation Propagation Pipeline			2023-05-19	bd8dd9eb227959b151e180db9303a64a
GCF_030867095.1	rAllMis1	8496	Alligator mississippiensis	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/867/095/GCF_030867095.1_rAllMis1/GCF_030867095.1_rAllMis1_genomic.gff.gz	gff	2023-09-14	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon; cmsearch; tRNAscan-SE	10.2	2023-09-22	2f2c0cf04cd24d1a387c17fb8af8cd29
GCF_958979055.1	dhAlnGlut1.1	3517	Alnus glutinosa	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/958/979/055/GCF_958979055.1_dhAlnGlut1.1/GCF_958979055.1_dhAlnGlut1.1_genomic.gff.gz	gff	2024-01-10	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.2	2024-01-17	3f78d670282c5798262fcc9e22626d9f
GCF_017589495.1	AALO_Geno_1.1	278164	Alosa alosa	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/589/495/GCF_017589495.1_AALO_Geno_1.1/GCF_017589495.1_AALO_Geno_1.1_genomic.gff.gz	gff	2022-05-13	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	9.0	2022-05-15	896b9e43413ea5d584b3da854738be19
GCF_018492685.1	fAloSap1.pri	34773	Alosa sapidissima	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/492/685/GCF_018492685.1_fAloSap1.pri/GCF_018492685.1_fAloSap1.pri_genomic.gff.gz	gff	2021-06-09	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	9.0	2021-06-15	7187a2f30062a863bba082f21d03bed5
GCF_042100115.1	ASM4210011v1	48095	Alternaria dauci	RefSeq	Peking University	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/100/115/GCF_042100115.1_ASM4210011v1/GCF_042100115.1_ASM4210011v1_genomic.gff.gz	gff	2024-10-23	2025-09-09	Eukaryotic Annotation Propagation Pipeline			2024-10-24	ccc24b2829b797509840ec7314962b67
GCF_026212465.1	ASM2621246v1	29722	Amaranthus tricolor	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/212/465/GCF_026212465.1_ASM2621246v1/GCF_026212465.1_ASM2621246v1_genomic.gff.gz	gff	2023-06-23	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-06-28	446d6d828e107cc461730f0df989a0b3
GCF_010909765.2	sAmbRad1.1.pri	386614	Amblyraja radiata	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/909/765/GCF_010909765.2_sAmbRad1.1.pri/GCF_010909765.2_sAmbRad1.1.pri_genomic.gff.gz	gff	2021-03-31	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; propagated RefSeq model	8.6	2022-10-19	4b9a16ced28d6443def220e4d58a12f4
GCF_040938575.1	UKY_AmexF1_1	8296	Ambystoma mexicanum	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/938/575/GCF_040938575.1_UKY_AmexF1_1/GCF_040938575.1_UKY_AmexF1_1_genomic.gff.gz	gff	2024-10-03	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.3	2024-11-18	0efc0a1a9c795710b1306928d7ea88a8
GCF_036373705.1	fAmiCal2.hap1	7924	Amia calva	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/373/705/GCF_036373705.1_fAmiCal2.hap1/GCF_036373705.1_fAmiCal2.hap1_genomic.gff.gz	gff	2024-07-19	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.3	2024-07-24	d4e18bef707ce7f9231c5ebd4b348012
GCF_027887145.1	bAmmCau1.pri	2857398	Ammospiza caudacuta	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/887/145/GCF_027887145.1_bAmmCau1.pri/GCF_027887145.1_bAmmCau1.pri_genomic.gff.gz	gff	2023-08-08	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-08-14	7f26da81f76f7da1c23ebf646f8b8f34
GCF_027579445.1	bAmmNel1.pri	2857394	Ammospiza nelsoni	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/579/445/GCF_027579445.1_bAmmNel1.pri/GCF_027579445.1_bAmmNel1.pri_genomic.gff.gz	gff	2023-09-08	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.2	2023-09-16	d1fd9ffad631e6f415a11d98783cf3a5
GCF_022539595.1	ASM2253959v1	80972	Amphiprion ocellaris	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/539/595/GCF_022539595.1_ASM2253959v1/GCF_022539595.1_ASM2253959v1_genomic.gff.gz	gff	2023-03-29	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-04-07	1dd66d9e73b613376b161b5151504954
GCF_039555335.1	Afil_fr2py	82378	Amphiura filiformis	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/555/335/GCF_039555335.1_Afil_fr2py/GCF_039555335.1_Afil_fr2py_genomic.gff.gz	gff	2025-03-06	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.3	2025-03-17	2c2fe953aed6dabc04e4beb474c8a132
GCF_032362555.1	ilAmyTran1.1	680683	Amyelois transitella	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/362/555/GCF_032362555.1_ilAmyTran1.1/GCF_032362555.1_ilAmyTran1.1_genomic.gff.gz	gff	2023-11-08	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon; cmsearch; tRNAscan-SE	10.2	2023-11-16	1961765893176316fb3b2017399d8312
GCF_900324465.2	fAnaTes1.2	64144	Anabas testudineus	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/324/465/GCF_900324465.2_fAnaTes1.2/GCF_900324465.2_fAnaTes1.2_genomic.gff.gz	gff	2020-04-03	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	8.4	2022-09-28	fb3ec380eef1c62233ac7ff4b84cf0be
GCF_040414725.1	ASM4041472v1	316456	Anabrus simplex	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/414/725/GCF_040414725.1_ASM4041472v1/GCF_040414725.1_ASM4041472v1_genomic.gff.gz	gff	2024-09-05	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.3	2024-09-11	2112cdaccfa09143610dd558f9e5af06
GCF_001540865.1	ASM154086v1	4615	Ananas comosus	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/540/865/GCF_001540865.1_ASM154086v1/GCF_001540865.1_ASM154086v1_genomic.gff.gz	gff	2017-02-13	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	7.3	2023-07-26	5c66b13f189b0690ec6d7d37bb215d09
GCF_963932015.1	bAnaAcu1.1	28680	Anas acuta	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/963/932/015/GCF_963932015.1_bAnaAcu1.1/GCF_963932015.1_bAnaAcu1.1_genomic.gff.gz	gff	2024-09-19	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.3	2024-09-23	9a3b39f0b0e2c59747bb32c436670cb0
GCF_047663525.1	IASCAAS_PekinDuck_T2T	8839	Anas platyrhynchos	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/047/663/525/GCF_047663525.1_IASCAAS_PekinDuck_T2T/GCF_047663525.1_IASCAAS_PekinDuck_T2T_genomic.gff.gz	gff	2025-03-07	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon; cmsearch; tRNAscan-SE	10.3	2025-03-10	a93b2ba40c94dc32362a0c5846ffa1e1
GCF_028408465.1	idAnaLude1.1	28586	Anastrepha ludens	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/408/465/GCF_028408465.1_idAnaLude1.1/GCF_028408465.1_idAnaLude1.1_genomic.gff.gz	gff	2023-03-07	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-03-11	1b5f62bdef646346f247fb1253c73e71
GCF_027943255.1	idAnaObli1_1.0	95512	Anastrepha obliqua	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/943/255/GCF_027943255.1_idAnaObli1_1.0/GCF_027943255.1_idAnaObli1_1.0_genomic.gff.gz	gff	2023-03-31	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-04-04	1622715c6d4de0b6c0ef9e8325ec6faf
GCF_013347855.1	fAngAng1.pri	7936	Anguilla anguilla	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/347/855/GCF_013347855.1_fAngAng1.pri/GCF_013347855.1_fAngAng1.pri_genomic.gff.gz	gff	2020-07-01	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	8.4	2022-09-28	5e383ff9eef57d8653a865470d3465f2
GCF_018555375.3	ASM1855537v3	7938	Anguilla rostrata	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/555/375/GCF_018555375.3_ASM1855537v3/GCF_018555375.3_ASM1855537v3_genomic.gff.gz	gff	2024-04-03	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.2	2024-04-06	72aeb318c2e376b76e53a5218b4e52ed
GCF_035594765.1	rAnoCar3.1.pri	28377	Anolis carolinensis	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/594/765/GCF_035594765.1_rAnoCar3.1.pri/GCF_035594765.1_rAnoCar3.1.pri_genomic.gff.gz	gff	2024-02-01	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon; cmsearch; tRNAscan-SE	10.2	2024-02-11	3ab4f702e92ebbae492742ee4a4a0b50
GCF_037176765.1	rAnoSag1.mat	38937	Anolis sagrei	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/176/765/GCF_037176765.1_rAnoSag1.mat/GCF_037176765.1_rAnoSag1.mat_genomic.gff.gz	gff	2024-08-09	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.3	2024-08-20	32fa21c9e1097596790c38b319e1eedb
GCF_048569485.1	aAnoBae1.hap1	238106	Anomaloglossus baeobatrachus	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/048/569/485/GCF_048569485.1_aAnoBae1.hap1/GCF_048569485.1_aAnoBae1.hap1_genomic.gff.gz	gff	2025-07-11	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.4	2025-07-16	d5d14b18bd8da37d919076edfbf5169d
GCF_031753505.1	ASM3175350v1	187417	Anomalospiza imberbis	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/753/505/GCF_031753505.1_ASM3175350v1/GCF_031753505.1_ASM3175350v1_genomic.gff.gz	gff	2024-07-12	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.3	2024-09-10	57bd0debe25bc76ed05d25e7ec4fbc39
GCF_013758885.1	VT_AalbS3_pri_1.0	7167	Anopheles albimanus	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/758/885/GCF_013758885.1_VT_AalbS3_pri_1.0/GCF_013758885.1_VT_AalbS3_pri_1.0_genomic.gff.gz	gff	2020-08-17	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	8.5	2020-08-22	3fe079ff07cd74af0bb66ab1edcb0c16
GCF_943734665.1	idAnoAquaMG_Q_19	42839	Anopheles aquasalis	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/665/GCF_943734665.1_idAnoAquaMG_Q_19/GCF_943734665.1_idAnoAquaMG_Q_19_genomic.gff.gz	gff	2022-08-22	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	10.0	2022-08-24	24075c89dfd439fcc24e0c96c19d5463
GCF_016920715.1	AaraD3	7173	Anopheles arabiensis	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/920/715/GCF_016920715.1_AaraD3/GCF_016920715.1_AaraD3_genomic.gff.gz	gff	2021-03-23	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	8.6	2022-09-28	6d882d8eab681c5ca1d46a5457f65696
GCF_943735745.2	idAnoBellAS_SP24_06.2	139047	Anopheles bellator	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/735/745/GCF_943735745.2_idAnoBellAS_SP24_06.2/GCF_943735745.2_idAnoBellAS_SP24_06.2_genomic.gff.gz	gff	2023-07-14	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-07-17	2a25abbf06eb3e267823eaae352cccd9
GCF_943734685.1	AcolN3	1518534	Anopheles coluzzii	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/685/GCF_943734685.1_AcolN3/GCF_943734685.1_AcolN3_genomic.gff.gz	gff	2022-07-15	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	10.0	2022-07-26	6e47dc651bab8a2519fd0a6d290c3b09
GCF_943734705.1	idAnoCousDA_361_x.2	139045	Anopheles coustani	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/705/GCF_943734705.1_idAnoCousDA_361_x.2/GCF_943734705.1_idAnoCousDA_361_x.2_genomic.gff.gz	gff	2023-07-18	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-07-19	342f91110d632164086920c36747eb91
GCF_943734635.1	idAnoCruzAS_RS32_06	68878	Anopheles cruzii	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/635/GCF_943734635.1_idAnoCruzAS_RS32_06/GCF_943734635.1_idAnoCruzAS_RS32_06_genomic.gff.gz	gff	2023-02-23	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-02-24	209e376333f71d1247878b942410d618
GCF_943734745.1	idAnoDarlMG_H_01	43151	Anopheles darlingi	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/745/GCF_943734745.1_idAnoDarlMG_H_01/GCF_943734745.1_idAnoDarlMG_H_01_genomic.gff.gz	gff	2022-07-27	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	10.0	2022-07-29	cafded99e4ba183ec417c5cf69a1eb34
GCF_943734845.2	idAnoFuneDA-416_04	62324	Anopheles funestus	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/845/GCF_943734845.2_idAnoFuneDA-416_04/GCF_943734845.2_idAnoFuneDA-416_04_genomic.gff.gz	gff	2022-07-14	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	10.0	2022-07-17	85e06edc2e39facdec63f605944a7a5f
GCF_943734735.2	idAnoGambNW_F1_1	7165	Anopheles gambiae	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/735/GCF_943734735.2_idAnoGambNW_F1_1/GCF_943734735.2_idAnoGambNW_F1_1_genomic.gff.gz	gff	2023-12-16	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.2	2023-12-20	49fee915278a29c429ec341707a96082
GCF_943734695.1	idAnoMacuDA_375_x	1496333	Anopheles maculipalpis	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/695/GCF_943734695.1_idAnoMacuDA_375_x/GCF_943734695.1_idAnoMacuDA_375_x_genomic.gff.gz	gff	2022-08-09	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	10.0	2022-08-22	c7c80d516850575adae56bc6e5f2c53f
GCF_943734725.1	idAnoMarsDA_429_01	1521116	Anopheles marshallii	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/725/GCF_943734725.1_idAnoMarsDA_429_01/GCF_943734725.1_idAnoMarsDA_429_01_genomic.gff.gz	gff	2023-02-15	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-02-24	a43416d61a6f3c365e5824eb04b3da85
GCF_017562075.2	AmerM5.1	30066	Anopheles merus	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/562/075/GCF_017562075.2_AmerM5.1/GCF_017562075.2_AmerM5.1_genomic.gff.gz	gff	2021-06-01	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	8.6	2021-06-03	3ff7d10bad1a1ed155010d55743e6a75
GCF_943734755.1	idAnoMoucSN_F20_07	186751	Anopheles moucheti	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/755/GCF_943734755.1_idAnoMoucSN_F20_07/GCF_943734755.1_idAnoMoucSN_F20_07_genomic.gff.gz	gff	2023-02-23	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-02-24	64ce0d9eaeceb36b6ab38b6c23ea2d75
GCF_943737925.1	idAnoNiliSN_F5_01	185578	Anopheles nili	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/737/925/GCF_943737925.1_idAnoNiliSN_F5_01/GCF_943737925.1_idAnoNiliSN_F5_01_genomic.gff.gz	gff	2023-02-14	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-02-24	f008d5e23a991fb5cbbe3f356ca49824
GCF_013141755.1	UCI_ANSTEP_V1.0	30069	Anopheles stephensi	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/141/755/GCF_013141755.1_UCI_ANSTEP_V1.0/GCF_013141755.1_UCI_ANSTEP_V1.0_genomic.gff.gz	gff	2020-09-03	2025-09-09	NCBI eukaryotic genome annotation pipeline	Best-placed RefSeq; Gnomon	8.5	2020-09-08	99a27b08be124a564e4cad9568bcfb45
GCF_943734765.1	idAnoZiCoDA_A2_x.2	345580	Anopheles ziemanni	RefSeq	NCBI RefSeq	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/943/734/765/GCF_943734765.1_idAnoZiCoDA_A2_x.2/GCF_943734765.1_idAnoZiCoDA_A2_x.2_genomic.gff.gz	gff	2023-07-20	2025-09-09	NCBI eukaryotic genome annotation pipeline	Gnomon; cmsearch; tRNAscan-SE	10.1	2023-07-21	977304bb49e3b5efcf469fcd832031f2
