assembly_accession	assembly_name	taxon_id	organism_name	source_database	annotation_provider	access_url	file_format	release_date	pipeline_name	pipeline_method	pipeline_version	last_modified_date	md5_checksum	retrieval_date
GCA_000090745.2	AnoCar2.0	28377	Anolis carolinensis	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/090/745/2/ensembl/2020_10/geneset/genes.gff3.gz	gff	2020-10-01	Ensembl Genebuild			2026-04-02	70b22153d5535c5278ff05508579c458	2026-09-04
GCA_000091045.1	ASM9104v1	214684	Cryptococcus deneoformans JEC21	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/091/045/1/community/2016_06/geneset/genes.gff3.gz	gff	2016-06-01				2026-04-04	5e29583cf90204978f0c2813d8795214	2026-09-04
GCA_000091205.1	ASM9120v1	280699	Cyanidioschyzon merolae strain 10D	Ensembl	community_nig	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/091/205/1/community_nig/2025_06/geneset/genes.gff3.gz	gff	2025-06-01				2026-04-04	48460df9d987fb77b45f02db4879f3ab	2026-09-04
GCA_000092065.1	ASM9206v1	436017	Ostreococcus lucimarinus CCE9901	Ensembl	community_jgi	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/092/065/1/community_jgi/2025_06/geneset/genes.gff3.gz	gff	2025-06-01				2026-04-13	77327ba6f14bcb1f36c3928aa2b1b269	2026-09-04
GCA_000142945.1	ASM14294v1	403677	Phytophthora infestans T30-4	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/142/945/1/community/2010_12/geneset/genes.gff3.gz	gff	2010-12-01				2026-04-13	3336db42ad42900cfd34048bfbf8a012	2026-09-04
GCA_000143185.2	Schco3	578458	Schizophyllum commune h4-8	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/143/185/2/community/2025_09/geneset/genes.gff3.gz	gff	2025-09-01				2026-04-14	5a67be0319b230ac49109a1877741eba	2026-09-04
GCA_000143535.4	ASM14353v4	332648	Botrytis cinerea b05.10	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/143/535/4/community/2021_06/geneset/genes.gff3.gz	gff	2021-06-01				2026-04-03	200e4175a532d5e5e9e476d4419a9774	2026-09-04
GCA_000145635.1	Gae_graminis_V2	644352	Gaeumannomyces tritici r3-111a-1	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/145/635/1/community/2012_08/geneset/genes.gff3.gz	gff	2012-08-01				2026-04-05	8f5a94e1067014c7f76fc12d4b00fcc7	2026-09-04
GCA_000146045.2	R64-1-1	559292	Saccharomyces cerevisiae S288C	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/146/045/2/community/2018_10/geneset/genes.gff3.gz	gff	2018-10-01				2026-04-14	3b66a77ae72e57eaf9250a183319e4d2	2026-09-04
GCA_000146605.4	Turkey_5.1	9103	Meleagris gallopavo	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/146/605/4/ensembl/2020_09/geneset/genes.gff3.gz	gff	2020-09-01	Ensembl Genebuild			2026-04-11	b7cb130bab20a9ad4bbe45297090b995	2026-09-04
GCA_000146795.3	Nleu_3.0	61853	Nomascus leucogenys	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/146/795/3/ensembl/2017_12/geneset/genes.gff3.gz	gff	2017-12-01	Ensembl Genebuild			2026-04-12	3c92968c7adf7a7ed58fcbc9deff4a44	2026-09-04
GCA_000147115.1	Myoluc2.0	59463	Myotis lucifugus	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/147/115/1/ensembl/2011_06/geneset/genes.gff3.gz	gff	2011-06-01	Ensembl Genebuild			2026-04-12	777567d02276d0d83354cc85d270886e	2026-09-04
GCA_000149035.1	C_graminicola_M1_001_V1	645133	Colletotrichum graminicola m1.001	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/149/035/1/community/2010_11/geneset/genes.gff3.gz	gff	2010-11-01				2026-04-04	039f4413e54259c98ed7e041680e77fb	2026-09-04
GCA_000149615.1	ASM14961v1	341663	Aspergillus terreus nih2624	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/149/615/1/community/2010_06/geneset/genes.gff3.gz	gff	2010-06-01				2026-04-02	1ec4e8ff8b08e35c32136be12b7b8b8a	2026-09-04
GCA_000149645.4	ASM14964v4	331117	Aspergillus fischeri nrrl 181	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/149/645/4/community/2025_07/geneset/genes.gff3.gz	gff	2025-07-01				2026-04-02	9670cee7a8be33e6dd29520248350169	2026-09-04
GCA_000149845.2	SJ5	402676	Schizosaccharomyces japonicus yfs275	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/149/845/2/community/2013_08/geneset/genes.gff3.gz	gff	2013-08-01				2026-04-14	1efc692005d026ab124784cde24a5c8f	2026-09-04
GCA_000150145.1	ASM15014v1	451804	Aspergillus fumigatus a1163	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/150/145/1/community/2009_06/geneset/genes.gff3.gz	gff	2009-06-01				2026-04-02	c5f158ca5034e9dae7169a56129803fa	2026-09-04
GCA_000150505.2	SO6	483514	Schizosaccharomyces octosporus yfs286	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/150/505/2/community/2013_07/geneset/genes.gff3.gz	gff	2013-07-01				2026-04-14	dfa2aa64285e7aefc312235222b3c8d1	2026-09-04
GCA_000150675.2	ASM15067v2	498257	Verticillium dahliae vdls.17	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/150/675/2/community/2011_09/geneset/genes.gff3.gz	gff	2011-09-01				2026-04-19	33a0876637354beab08e4dc7a5fb99fc	2026-09-04
GCA_000151315.2	C_owczarzaki_V2	595528	Capsaspora owczarzaki ATCC 30864	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/151/315/2/community/2015_03/geneset/genes.gff3.gz	gff	2015-03-01				2026-04-04	3e0d28bb604cdaa6e4691e6eff047c91	2026-09-04
GCA_000151525.2	P_triticina_1_1_V2	630390	Puccinia triticina 1-1 bbbd race 1	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/151/525/2/community/2025_09/geneset/genes.gff3.gz	gff	2025-09-01				2026-04-14	0ca05ba5e2d88b55f65a84251bf7e77e	2026-09-04
GCA_000151645.1	ASM15164v1	39416	Tuber melanosporum	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/151/645/1/community/2010_04/geneset/genes.gff3.gz	gff	2010-04-01				2026-04-18	f112b909cd651b056c43737b10a4374c	2026-09-04
GCA_000151735.1	Cavpor3.0	10141	Cavia porcellus	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/151/735/1/ensembl/2017_07/geneset/genes.gff3.gz	gff	2017-07-01	Ensembl Genebuild			2026-04-04	8855b6ba4f5520a0520711147ac18869	2026-09-04
GCA_000151885.2	Dord_2.0	10020	Dipodomys ordii	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/151/885/2/ensembl/2020_03/geneset/genes.gff3.gz	gff	2020-03-01	Ensembl Genebuild			2026-04-05	6376dd7fc9a9cb69f0886d2321fa451c	2026-09-04
GCA_000151905.3	gorGor4	9595	Gorilla gorilla gorilla	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/151/905/3/ensembl/2020_03/geneset/genes.gff3.gz	gff	2020-03-01	Ensembl Genebuild			2026-04-05	7c3ff77010c355c077471933d849c2bc	2026-09-04
GCA_000164805.2	Tarsius_syrichta-2.0.1	1868482	Carlito syrichta	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/164/805/2/ensembl/2020_03/geneset/genes.gff3.gz	gff	2020-03-01	Ensembl Genebuild			2026-04-04	aba16dac963171f1e85b3823bb4097b4	2026-09-04
GCA_000165045.2	Callorhinchus_milii-6.1.3	7868	Callorhinchus milii	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/165/045/2/ensembl/2019_03/geneset/genes.gff3.gz	gff	2019-03-01	Ensembl Genebuild			2026-04-04	a92095d6ce89aaf87019b2c5f8942090	2026-09-04
GCA_000165395.2	ASM16539v2	484906	Babesia bovis t2bo	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/165/395/2/community/2025_06/geneset/genes.gff3.gz	gff	2025-06-01				2026-04-03	668228d440356eb0d6dce741b486a438	2026-09-04
GCA_000165445.3	Mmur_3.0	30608	Microcebus murinus	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/165/445/3/ensembl/2020_03/geneset/genes.gff3.gz	gff	2020-03-01	Ensembl Genebuild			2026-04-11	37e38663f70bfff141c3eee8a430096d	2026-09-04
GCA_000166005.1	PyrTer_1.0	861557	Pyrenophora teres f. teres 0-1	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/166/005/1/community/2010_12/geneset/genes.gff3.gz	gff	2010-12-01				2026-04-14	55091c051ee842d789ae7330d06781ff	2026-09-04
GCA_000166175.1	M_violaceum_V1	683840	Microbotryum lychnidis-dioicae p1a1 lamole	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/166/175/1/community/2010_11/geneset/genes.gff3.gz	gff	2010-11-01				2026-04-11	dea9dd9f36cea8016aa9bcca1534c596	2026-09-04
GCA_000167675.2	v2.0	431241	Trichoderma reesei qm6a	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/167/675/2/community/2025_12/geneset/genes.gff3.gz	gff	2025-12-01				2026-04-15	bab94c1eff2f540af0f679c1881366b5	2026-09-04
GCA_000173235.2	HyaAraEmoy2_2.0	559515	Hyaloperonospora arabidopsidis emoy2	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/173/235/2/community/2010_04/geneset/genes.gff3.gz	gff	2010-04-01				2026-04-11	ad142d40cae0618e063d53ef8920ce3f	2026-09-04
GCA_000181295.3	OtoGar3	30611	Otolemur garnettii	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/181/295/3/ensembl/2011_12/geneset/genes.gff3.gz	gff	2011-12-01	Ensembl Genebuild			2026-04-13	6c10afa85cd61e9dd581ba561d147339	2026-09-04
GCA_000182925.2	NC12	367110	Neurospora crassa or74a	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/182/925/2/community/2014_01/geneset/genes.gff3.gz	gff	2014-01-01				2026-04-12	daedd162684383a279179495757ee90d	2026-09-04
GCA_000182965.3	ASM18296v3	237561	Candida albicans sc5314	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/182/965/3/community/2025_07/geneset/genes.gff3.gz	gff	2025-07-01				2026-04-04	484eb7a728353b04c49defb4043dc2d7	2026-09-04
GCA_000184455.3	ASM18445v3	510516	Aspergillus oryzae rib40	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/184/455/3/community/2016_12/geneset/genes.gff3.gz	gff	2016-12-01				2026-04-02	be47232733431be7c0b5ec78abc61cd7	2026-09-04
GCA_000188095.4	BIMP_2.2	132113	Bombus impatiens	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/188/095/4/ensembl/2021_11/geneset/genes.gff3.gz	gff	2021-11-01	Ensembl Genebuild			2026-04-03	a004a72a87b617d3a5010fcbe838866f	2026-09-04
GCA_000188695.1	Proterospongia_sp_ATCC50818	946362	Salpingoeca rosetta str. ATCC 50818	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/188/695/1/community/2015_05/geneset/genes.gff3.gz	gff	2015-05-01				2026-04-14	a0a6b1c5ad73c11f94b78403af095506	2026-09-04
GCA_000204055.1	v1.0	747676	Melampsora larici-populina 98ag31	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/204/055/1/community/2011_04/geneset/genes.gff3.gz	gff	2011-04-01				2026-04-11	25c13024bb1fff5d432a441b95ad7278	2026-09-04
GCA_000204055.1	v1.0	747676	Melampsora larici-populina 98ag31	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/204/055/1/community/2025_12/geneset/genes.gff3.gz	gff	2025-12-01				2026-04-11	92568d80566fa32cbf8698f0c03b4d59	2026-09-04
GCA_000208745.2	Criollo_cocoa_genome_V2	3641	Theobroma cacao	Ensembl	community_cgh	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/208/745/2/community_cgh/2025_06/geneset/genes.gff3.gz	gff	2025-06-01				2026-04-15	e7e380abb55cf34fb0c5a179f3281ff2	2026-09-04
GCA_000214255.1	Bter_1.0	30195	Bombus terrestris	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/214/255/1/ensembl/2021_11/geneset/genes.gff3.gz	gff	2021-11-01	Ensembl Genebuild			2026-04-03	8574bf7e82db5c7242957cef7d180c4f	2026-09-04
GCA_000219495.2	MedtrA17_4.0	3880	Medicago truncatula	Ensembl	community_imgag	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/219/495/2/community_imgag/2014_06/geneset/genes.gff3.gz	gff	2014-06-01				2026-04-11	74e93684ed485d95586e61984f8d1912	2026-09-04
GCA_000219625.1	MYCGR_v2.0	336722	Zymoseptoria tritici	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/219/625/1/community/2021_06/geneset/genes.gff3.gz	gff	2021-06-01				2026-04-19	3644712b67942b6f888ec915d4a74b33	2026-09-04
GCA_000222805.1	FOB1	660025	Fusarium oxysporum f. sp. lycopersici 4287	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/222/805/1/community/2021_06/geneset/genes.gff3.gz	gff	2021-06-01				2026-04-05	669f622bbb5c61476a9d528b447ed831	2026-09-04
GCA_000223135.1	CriGri_1.0	10029	Cricetulus griseus	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/223/135/1/ensembl/2020_03/geneset/genes.gff3.gz	gff	2020-03-01	Ensembl Genebuild			2026-04-04	382b50e7415ae5354104dd219efd38d5	2026-09-04
GCA_000225785.1	LatCha1	7897	Latimeria chalumnae	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/225/785/1/ensembl/2012_11/geneset/genes.gff3.gz	gff	2012-11-01	Ensembl Genebuild			2026-04-11	21be3249c440963468ef69c73b258cc0	2026-09-04
GCA_000226075.1	SolTub_3.0	4113	Solanum tuberosum	Ensembl	community_potato_gsc	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/226/075/1/community_potato_gsc/2011_05/geneset/genes.gff3.gz	gff	2011-05-01				2026-04-14	09d49ac60d916876411bdf6cea30f653	2026-09-04
GCA_000230245.1	ASM23024v1	999809	Sporisorium reilianum srz2	Ensembl	community	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/230/245/1/community/2011_08/geneset/genes.gff3.gz	gff	2011-08-01				2026-04-14	5582a04df906aa8c519c266f86edb07a	2026-09-04
GCA_000235385.1	SaiBol1.0	39432	Saimiri boliviensis boliviensis	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/235/385/1/ensembl/2020_03/geneset/genes.gff3.gz	gff	2020-03-01	Ensembl Genebuild			2026-04-14	ca5f241d64ec76d30db1ffc3426327db	2026-09-04
GCA_000236235.1	SpeTri2.0	43179	Ictidomys tridecemlineatus	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/236/235/1/ensembl/2017_07/geneset/genes.gff3.gz	gff	2017-07-01	Ensembl Genebuild			2026-04-11	9d9eefccbdaa2675c5b1e9666de9d442	2026-09-04
GCA_000238415.2	Cla97_v1	3654	Citrullus lanatus	Ensembl	community_cugendb	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/238/415/2/community_cugendb/2025_06/geneset/genes.gff3.gz	gff	2025-06-01				2026-04-04	4d3f9b225d2eeb6a631c395b74f62b62	2026-09-04
GCA_000238955.5	M_zebra_UMD2a	106582	Maylandia zebra	Ensembl	ensembl	https://ftp.ebi.ac.uk/pub/ensemblorganisms/GCA/000/238/955/5/ensembl/2018_07/geneset/genes.gff3.gz	gff	2018-07-01	Ensembl Genebuild			2026-04-11	2959f6c4e60aee8cdc785f2a72912656	2026-09-04
