assembly_accession	assembly_name	taxon_id	organism_name	source_database	annotation_provider	access_url	file_format	release_date	retrieval_date	pipeline_name	pipeline_method	pipeline_version	last_modified_date	md5_checksum
GCA_052642515.1	ASM5264251v1	72779	Formica fusca	GenBank	Zhejiang University	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/052/642/515/GCA_052642515.1_ASM5264251v1/GCA_052642515.1_ASM5264251v1_genomic.gff.gz	gff	2025-09-15	2026-01-06				2025-09-16	9eb42aaf765bb7fb812f7584b07c565b
GCA_976943345.1	jamPalA1	2878321	Jaminaea pallidilutea	GenBank	Comenius University, Faculty of Mathematics, Physics and Informatics	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/976/943/345/GCA_976943345.1_jamPalA1/GCA_976943345.1_jamPalA1_genomic.gff.gz	gff	2025-10-21	2026-01-06				2025-11-25	4adf7f63056087be354ca39bb5064bea
GCA_031893055.1	aLepFus1.hap2	238119	Leptodactylus fuscus	GenBank	GenBank submitter	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/893/055/GCA_031893055.1_aLepFus1.hap2/GCA_031893055.1_aLepFus1.hap2_genomic.gff.gz	gff	2025-08-15	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2025-11-28	ca6f00a7af860d538a78402372a9cf08
GCA_977015275.1	VM36	3465991	Neocucurbitaria sp. VM-36	GenBank	groningen institute for evolutionary life sciences, university of groningen	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/977/015/275/GCA_977015275.1_VM36/GCA_977015275.1_VM36_genomic.gff.gz	gff	2025-10-30	2026-01-06				2025-11-26	20059c9a164d320b07bad61544de8ed5
GCA_964027135.1	Lemmus_lemmus_n_2024_04_v2	79949	Lemmus lemmus	GenBank	NBIS (National Bioinformatics Infrastructure Sweden)	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/027/135/GCA_964027135.1_Lemmus_lemmus_n_2024_04_v2/GCA_964027135.1_Lemmus_lemmus_n_2024_04_v2_genomic.gff.gz	gff	2025-11-20	2026-01-06				2025-11-24	ceeeb7fc1eab2555de0ee331ea39bf75
GCA_976943335.1	jamPhyA2	1463510	Parajaminaea phylloscopi	GenBank	Comenius University, Faculty of Mathematics, Physics and Informatics	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/976/943/335/GCA_976943335.1_jamPhyA2/GCA_976943335.1_jamPhyA2_genomic.gff.gz	gff	2025-10-21	2026-01-06				2025-11-25	d04e6b9415f2b51ff39e93153919bcef
GCA_976943355.1	symKanA1	574677	Sympodiomycopsis kandeliae	GenBank	Comenius University, Faculty of Mathematics, Physics and Informatics	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/976/943/355/GCA_976943355.1_symKanA1/GCA_976943355.1_symKanA1_genomic.gff.gz	gff	2025-10-21	2026-01-06				2025-11-25	15f2423f5b219daa8c240823dbe71dfb
GCA_024294585.1	rVipLat1.pri	246179	Vipera latastei	GenBank	GenBank submitter	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/024/294/585/GCA_024294585.1_rVipLat1.pri/GCA_024294585.1_rVipLat1.pri_genomic.gff.gz	gff	2025-08-27	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2025-11-30	76bdf43340a8a9acb61768c8fa6ee5a5
GCA_965211605.1	WaIMDO010110_assembly	4927	Wickerhamomyces anomalus	GenBank	VRIJE UNIVERSITEIT BRUSSEL	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/965/211/605/GCA_965211605.1_WaIMDO010110_assembly/GCA_965211605.1_WaIMDO010110_assembly_genomic.gff.gz	gff	2025-11-16	2026-01-06				2025-11-26	0d1f6f1b34a06b236cab62fd50195c61
GCA_039906565.1	bAegAlb1.hap1	48277	Aegotheles albertisi	GenBank	Vertebrate Genome Laboratory	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/906/565/GCA_039906565.1_bAegAlb1.hap1/GCA_039906565.1_bAegAlb1.hap1_genomic.gff.gz	gff	2025-12-03	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2026-01-05	0cfcc5081141ba66835194b1c9585c46
GCA_036417535.1	bChlMac1.mat	187382	Chlamydotis macqueenii	GenBank	Vertebrate Genome Laboratory	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/417/535/GCA_036417535.1_bChlMac1.mat/GCA_036417535.1_bChlMac1.mat_genomic.gff.gz	gff	2025-12-03	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2026-01-05	87a919f35807e949a459096b51ecd962
GCA_028451465.1	mEreDor1.pri	34844	Erethizon dorsatum	GenBank	Vertebrate Genome Laboratory	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/451/465/GCA_028451465.1_mEreDor1.pri/GCA_028451465.1_mEreDor1.pri_genomic.gff.gz	gff	2025-12-01	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2026-01-05	fab0ca5c134325594b2b33fbcf84cee5
GCA_009819775.1	bPhoRub2.pri	9218	Phoenicopterus ruber ruber	GenBank	Vertebrate Genome Laboratory	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/819/775/GCA_009819775.1_bPhoRub2.pri/GCA_009819775.1_bPhoRub2.pri_genomic.gff.gz	gff	2025-12-04	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2026-01-05	837920f70ad9747d1846985081083105
GCA_017639485.1	bPluApr1.pri	670352	Pluvialis apricaria	GenBank	Vertebrate Genome Laboratory	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/639/485/GCA_017639485.1_bPluApr1.pri/GCA_017639485.1_bPluApr1.pri_genomic.gff.gz	gff	2025-12-08	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2026-01-05	8e75e5552c1b4640d4ca488b4e13156e
GCA_028020825.1	bPodStr1.pri	8905	Podargus strigoides	GenBank	Vertebrate Genome Laboratory	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/020/825/GCA_028020825.1_bPodStr1.pri/GCA_028020825.1_bPodStr1.pri_genomic.gff.gz	gff	2025-12-03	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2026-01-05	59679b3302fd782152665d5adf9a9631
GCA_020800305.1	bPorHoc1.mat.Z.cur	439704	Porphyrio hochstetteri	GenBank	Vertebrate Genome Laboratory	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/800/305/GCA_020800305.1_bPorHoc1.mat.Z.cur/GCA_020800305.1_bPorHoc1.mat.Z.cur_genomic.gff.gz	gff	2025-12-03	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2026-01-05	2a2ac6ed4c9ad91676422b4b9b29955f
GCA_009769525.1	bPteGut1.pri	240206	Pterocles gutturalis	GenBank	Vertebrate Genome Laboratory	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/769/525/GCA_009769525.1_bPteGut1.pri/GCA_009769525.1_bPteGut1.pri_genomic.gff.gz	gff	2025-12-03	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2026-01-05	ac42c74963dbfb92d40afe3c2addb8eb
GCA_027574665.1	bRhyJub1.pri	54386	Rhynochetos jubatus	GenBank	Vertebrate Genome Laboratory	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/574/665/GCA_027574665.1_bRhyJub1.pri/GCA_027574665.1_bRhyJub1.pri_genomic.gff.gz	gff	2025-12-08	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2026-01-05	fd881fca19329a03959053499d700e2b
GCA_054136125.1	WUR_RSER_BELMONTE_V1	74631	Rosa sericea	GenBank	Wageningen University	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/136/125/GCA_054136125.1_WUR_RSER_BELMONTE_V1/GCA_054136125.1_WUR_RSER_BELMONTE_V1_genomic.gff.gz	gff	2025-12-23	2026-01-06				2025-12-30	dd2c952015f9c0499f39903faa6fd259
GCA_027474245.1	bSphHub1.pri	9240	Spheniscus humboldti	GenBank	Vertebrate Genome Laboratory	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/474/245/GCA_027474245.1_bSphHub1.pri/GCA_027474245.1_bSphHub1.pri_genomic.gff.gz	gff	2025-12-03	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2026-01-05	4a4aff6b7c9d1bcf18701b582576db61
GCA_020745775.1	bTheCae1.pri.cur	1118847	Theristicus caerulescens	GenBank	Vertebrate Genome Laboratory	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/745/775/GCA_020745775.1_bTheCae1.pri.cur/GCA_020745775.1_bTheCae1.pri.cur_genomic.gff.gz	gff	2025-12-03	2026-01-06	NCBI EGAPx	Gnomon	0.4.1-alpha	2026-01-05	82faa635bdb9a75dff905acf138c0252
GCA_002008015.1	ASM200801v1	5477	[Candida] boidinii	GenBank	University of Sassari	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/015/GCA_002008015.1_ASM200801v1/GCA_002008015.1_ASM200801v1_genomic.gff.gz	gff	2017-06-12	2026-01-13				2019-06-17	db771fa8bdca81dfb8a96bd558ce50f8
GCA_002007995.1	ASM200799v1	5477	[Candida] boidinii	GenBank	University of Sassari	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/007/995/GCA_002007995.1_ASM200799v1/GCA_002007995.1_ASM200799v1_genomic.gff.gz	gff	2017-06-12	2026-01-13				2019-06-17	67baf29f4303b94f2aee9b4f4b59ce99
GCA_002008065.1	ASM200806v1	5477	[Candida] boidinii	GenBank	University of Sassari	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/065/GCA_002008065.1_ASM200806v1/GCA_002008065.1_ASM200806v1_genomic.gff.gz	gff	2017-06-12	2026-01-13				2021-09-24	48ca6c412d573cbe3a534386d861c829
GCA_030267825.1	ASM3026782v1	5477	[Candida] boidinii	GenBank	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/825/GCA_030267825.1_ASM3026782v1/GCA_030267825.1_ASM3026782v1_genomic.gff.gz	gff	2023-05-11	2026-01-13				2023-06-13	e77f386ead60f683b3f3fed6812aa541
GCA_963924395.1	CAAN3	148631	[Candida] anglica	GenBank	Genoscope CEA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/395/GCA_963924395.1_CAAN3/GCA_963924395.1_CAAN3_genomic.gff.gz	gff	2024-03-09	2026-01-13				2024-03-31	7f48dba652ed9676923935b23ff3f48f
GCA_030267665.1	ASM3026766v1	5477	[Candida] boidinii	GenBank	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/665/GCA_030267665.1_ASM3026766v1/GCA_030267665.1_ASM3026766v1_genomic.gff.gz	gff	2023-05-11	2026-01-13				2023-06-13	ab76ec819464c938267ea787ddec6ca7
GCA_030267845.1	ASM3026784v1	5477	[Candida] boidinii	GenBank	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/845/GCA_030267845.1_ASM3026784v1/GCA_030267845.1_ASM3026784v1_genomic.gff.gz	gff	2023-05-11	2026-01-13				2023-06-13	0f87fa63c0c9c7c3526053f73fc177ef
GCA_002008095.1	ASM200809v1	5477	[Candida] boidinii	GenBank	University of Sassari	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/095/GCA_002008095.1_ASM200809v1/GCA_002008095.1_ASM200809v1_genomic.gff.gz	gff	2017-06-12	2026-01-13				2021-09-24	5ceb7b72653e8df475ed608679bfc51a
GCA_963924425.1	CAAN1	148631	[Candida] anglica	GenBank	Genoscope CEA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/425/GCA_963924425.1_CAAN1/GCA_963924425.1_CAAN1_genomic.gff.gz	gff	2024-03-09	2026-01-13				2024-03-31	6ff8efb04a7262a614a345052bbbdf55
GCA_002008025.1	ASM200802v1	5477	[Candida] boidinii	GenBank	University of Sassari	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/025/GCA_002008025.1_ASM200802v1/GCA_002008025.1_ASM200802v1_genomic.gff.gz	gff	2017-06-12	2026-01-13				2019-06-17	fb3e23e1446eb6b07efa559c8f3103b6
GCA_030267865.1	ASM3026786v1	5477	[Candida] boidinii	GenBank	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/865/GCA_030267865.1_ASM3026786v1/GCA_030267865.1_ASM3026786v1_genomic.gff.gz	gff	2023-05-11	2026-01-13				2023-06-13	8a3a1ecfa10ff0c7abcb8d63d87c5c24
GCA_002008075.1	ASM200807v1	5477	[Candida] boidinii	GenBank	University of Sassari	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/008/075/GCA_002008075.1_ASM200807v1/GCA_002008075.1_ASM200807v1_genomic.gff.gz	gff	2017-06-12	2026-01-13				2019-06-17	b1981474212b0e843ef1cba8587dd3e0
GCA_030267585.1	ASM3026758v1	5477	[Candida] boidinii	GenBank	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/585/GCA_030267585.1_ASM3026758v1/GCA_030267585.1_ASM3026758v1_genomic.gff.gz	gff	2023-05-11	2026-01-13				2023-06-13	ef260833581e6adbfb052bc6c39c91ab
GCA_935541525.1	CLIB1423v1	45579	[Candida] railenensis	GenBank	INRAE	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/935/541/525/GCA_935541525.1_CLIB1423v1/GCA_935541525.1_CLIB1423v1_genomic.gff.gz	gff	2022-04-12	2026-01-13				2022-05-05	1ae5673a64286ac19beb14acfc4bc014
GCA_963924415.1	CAAN2	148631	[Candida] anglica	GenBank	Genoscope CEA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/924/415/GCA_963924415.1_CAAN2/GCA_963924415.1_CAAN2_genomic.gff.gz	gff	2024-03-09	2026-01-13				2024-03-31	8bd6de594977ee4fb0f4b88d4cb07619
GCA_019202705.1	ASM1920270v1	561895	[Candida] subhashii	GenBank	Barcelona Supercomputing Center	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/202/705/GCA_019202705.1_ASM1920270v1/GCA_019202705.1_ASM1920270v1_genomic.gff.gz	gff	2021-07-13	2026-01-13				2021-07-14	b2eb2f9475c3392e07ce95bcb8515b73
GCA_001661425.1	Canar1	983967	[Candida] arabinofermentans NRRL YB-2248	GenBank	DOE Joint Genome Institute	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/425/GCA_001661425.1_Canar1/GCA_001661425.1_Canar1_genomic.gff.gz	gff	2016-09-15	2026-01-13				2020-03-22	6fa25dc45e5f42c2edb02eccd9fad910
GCA_030267685.1	ASM3026768v1	5477	[Candida] boidinii	GenBank	Biological Resource Center, National Institute of Technology and Evaluation (NBRC)	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/685/GCA_030267685.1_ASM3026768v1/GCA_030267685.1_ASM3026768v1_genomic.gff.gz	gff	2023-05-11	2026-01-13				2023-06-13	3532b0a66dbe95ddc573db16f26416f3
GCA_001008285.1	ASM100828v1	73230	[Emmonsia] crescens	GenBank	Broad Institute	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/008/285/GCA_001008285.1_ASM100828v1/GCA_001008285.1_ASM100828v1_genomic.gff.gz	gff	2015-05-15	2026-01-13				2025-07-14	9f82923a0b3346ad5058e208588a17e3
GCA_022606235.1	Abobie1	137743	Abortiporus biennis	GenBank	DOE Joint Genome Institute	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/606/235/GCA_022606235.1_Abobie1/GCA_022606235.1_Abobie1_genomic.gff.gz	gff	2022-03-16	2026-01-13				2022-03-17	14c263e44d0a220d0f3f9a4ac60f80d5
GCA_900079185.1	AG_v1	4829	Absidia glauca	GenBank	FRIEDRICH SCHILLER UNIVERSITY JENA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/079/185/GCA_900079185.1_AG_v1/GCA_900079185.1_AG_v1_genomic.gff.gz	gff	2016-04-20	2026-01-13				2020-03-22	941ee02d1898eb2694e2fb2f9ca072cd
GCA_002105175.1	Absrep1	90262	Absidia repens	GenBank	DOE Joint Genome Institute	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/105/175/GCA_002105175.1_Absrep1/GCA_002105175.1_Absrep1_genomic.gff.gz	gff	2017-04-20	2026-01-13				2019-06-18	6d23ab400d50b720e6435dd7a67bb9b7
GCA_047301825.1	ASM4730182v1	137743	Abortiporus biennis	GenBank	National Technical University of Athens (NTUA)	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/047/301/825/GCA_047301825.1_ASM4730182v1/GCA_047301825.1_ASM4730182v1_genomic.gff.gz	gff	2025-01-29	2026-01-13				2025-01-29	12b8ba6888f5efa230a6b59a23ed5c0d
GCA_025563575.1	ASM2556357v1	880440	Acacia pycnantha	GenBank	Genomics for Australian Plants	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/563/575/GCA_025563575.1_ASM2556357v1/GCA_025563575.1_ASM2556357v1_genomic.gff.gz	gff	2022-10-04	2026-01-13				2022-10-06	911206f3dfb658b208df08eefe96f335
GCA_040144395.1	ASM4014439v1	41462	[Myrmecia] bisecta	GenBank	Senckenberg	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/144/395/GCA_040144395.1_ASM4014439v1/GCA_040144395.1_ASM4014439v1_genomic.gff.gz	gff	2024-06-12	2026-01-13				2024-06-12	a29e46896d1ce0a249acdf18ded69f2c
GCA_034222035.1	Acra_USDA_v1	499986	Acacia crassicarpa	GenBank	USDA-ARS PGEC	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/222/035/GCA_034222035.1_Acra_USDA_v1/GCA_034222035.1_Acra_USDA_v1_genomic.gff.gz	gff	2023-12-08	2026-01-13				2025-08-01	b36f85e29def2e2fb6ee4a1316adcd4b
GCA_010015735.1	Aaoar1	1450172	Aaosphaeria arxii CBS 175.79	GenBank	DOE Joint Genome Institute	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/015/735/GCA_010015735.1_Aaoar1/GCA_010015735.1_Aaoar1_genomic.gff.gz	gff	2020-02-10	2026-01-13				2021-09-25	30bf7045ca10598c6074583c3729238e
GCA_008271595.1	ASM827159v1	1485010	[Pythium] brassicae (nom. inval.)	GenBank	Utah State University	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/271/595/GCA_008271595.1_ASM827159v1/GCA_008271595.1_ASM827159v1_genomic.gff.gz	gff	2019-09-04	2026-01-13				2025-08-26	e6f58ef5bf4ad15a58f72b7084c65f8a
GCA_000695815.1	ASM69581v1	57068	Acanthisitta chloris	GenBank	BGI	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/815/GCA_000695815.1_ASM69581v1/GCA_000695815.1_ASM69581v1_genomic.gff.gz	gff	2014-09-05	2026-01-13				2021-09-27	e4004166c39d8db9ef88431c444e2c53
GCA_900537255.1	ASM90053725v1	6277	Acanthocheilonema viteae	GenBank	BANG	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/537/255/GCA_900537255.1_ASM90053725v1/GCA_900537255.1_ASM90053725v1_genomic.gff.gz	gff	2018-11-09	2026-01-13				2021-09-17	ad533c631d83a3a0912d125a3f729e28
GCA_000825705.1	Allpaths-LG	1531966	[Torrubiella] hemipterigena	GenBank	HKI JENA	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/825/705/GCA_000825705.1_Allpaths-LG/GCA_000825705.1_Allpaths-LG_genomic.gff.gz	gff	2015-04-21	2026-01-13				2022-05-09	3ca391196724aa930d94335c3a6a3283
GCA_963669975.1	AobtHiC_assembly	200917	Acanthoscelides obtectus	GenBank	Evolutionary Biology Centre	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/669/975/GCA_963669975.1_AobtHiC_assembly/GCA_963669975.1_AobtHiC_assembly_genomic.gff.gz	gff	2023-12-04	2026-01-13				2023-12-08	3b2a7d860285bcbb88ad06e2c97bbaa4
GCA_022814355.1	ASM2281435v1	2871812	Acarospora aff. strigata	GenBank	University of Graz	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/814/355/GCA_022814355.1_ASM2281435v1/GCA_022814355.1_ASM2281435v1_genomic.gff.gz	gff	2022-04-04	2026-01-13				2022-04-04	17064e286abb61943f544ba460176350
GCA_003144295.1	Acain1	215250	Acaromyces ingoldii	GenBank	DOE Joint Genome Institute	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/144/295/GCA_003144295.1_Acain1/GCA_003144295.1_Acain1_genomic.gff.gz	gff	2018-05-24	2026-01-13				2019-03-01	c6d0b8b2aa4d4c117b40d61fe5883d11
GCA_013368085.1	Ate	2069292	Abscondita terminalis	GenBank	Northwestern Polytechnical University	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/368/085/GCA_013368085.1_Ate/GCA_013368085.1_Ate_genomic.gff.gz	gff	2020-06-23	2026-01-13				2021-06-11	e8a3fdffa0b2f525143ba99a0e1d4e94
GCA_903632075.3	SPHA2.0	158019	Acanthosepion pharaonis	GenBank	NINGBO UNIVERSITY	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/632/075/GCA_903632075.3_SPHA2.0/GCA_903632075.3_SPHA2.0_genomic.gff.gz	gff	2021-02-02	2026-01-13				2025-02-04	d18bcb2986c4f5ac8c8b9769310bb551
GCA_014904845.1	Acema1	886606	Acephala macrosclerotiorum	GenBank	DOE Joint Genome Institute	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/904/845/GCA_014904845.1_Acema1/GCA_014904845.1_Acema1_genomic.gff.gz	gff	2020-11-16	2026-01-13				2021-09-26	834b46677beca028f83a6b85f3165f29
GCA_910592055.1	Acaulospora_colombiana_CL356	27376	Acaulospora colombiana	GenBank	UPPSALA UNIVERISTY	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/592/055/GCA_910592055.1_Acaulospora_colombiana_CL356/GCA_910592055.1_Acaulospora_colombiana_CL356_genomic.gff.gz	gff	2021-11-12	2026-01-13				2021-11-15	f74bd4b19d5b46d8accee1eecaa16b8f
GCA_002081595.1	ACH_lane_v1	1202772	Achlya hypogyna	GenBank	University of Rhode Island	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/081/595/GCA_002081595.1_ACH_lane_v1/GCA_002081595.1_ACH_lane_v1_genomic.gff.gz	gff	2017-04-06	2026-01-13				2025-08-26	9d080279249fa7393d5465e34d3c2dc9
GCA_910591835.1	Acaulospora_morrowiae_CL551	94023	Acaulospora morrowiae	GenBank	UPPSALA UNIVERISTY	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/910/591/835/GCA_910591835.1_Acaulospora_morrowiae_CL551/GCA_910591835.1_Acaulospora_morrowiae_CL551_genomic.gff.gz	gff	2021-11-12	2026-01-13				2021-11-15	2ac2ea6dda33f2c269ac1fd698b83cf8
GCA_943733655.1	CLIB1444v1	467808	[Candida] jaroonii	GenBank	INRAE	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/943/733/655/GCA_943733655.1_CLIB1444v1/GCA_943733655.1_CLIB1444v1_genomic.gff.gz	gff	2022-06-27	2026-01-13				2022-07-07	14f0b9ff42725b78afa6ff6cecdfe9f8
